Date,Open,High,Low,Close,Volume
2023-09-06,464.81,471.15,464.81,465.69,746,200
2023-09-05,460.45,468.58,457.29,466.85,671,300
2023-09-01,460.00,462.96,456.83,460.45,473,200
2023-08-31,457.55,463.97,457.55,458.89,898,500
2023-08-30,453.85,457.47,451.66,457.28,631,600
2023-08-29,441.84,453.50,440.73,451.57,692,500
2023-08-28,445.80,448.00,441.23,443.68,366,400
2023-08-25,436.23,443.04,434.14,442.24,703,100
2023-08-24,455.25,456.82,434.59,435.86,906,400
2023-08-23,438.75,450.50,438.54,448.24,796,900
2023-08-22,440.42,443.66,433.82,436.39,682,400
2023-08-21,427.94,438.00,427.63,436.47,643,300
2023-08-18,422.73,428.46,418.51,426.02,802,000
2023-08-17,450.16,451.99,423.28,424.10,1,492,000
2023-08-16,436.58,436.58,427.43,428.21,884,800
2023-08-15,435.51,439.12,433.51,436.74,800,500
2023-08-14,426.11,434.99,425.61,434.85,775,500
2023-08-11,426.53,431.33,425.44,428.46,477,700
2023-08-10,435.18,438.84,429.45,431.39,492,000
2023-08-09,435.22,436.37,425.81,428.96,575,000
2023-08-08,441.34,441.34,433.71,435.99,658,500
2023-08-07,445.37,448.97,441.75,444.00,459,700
2023-08-04,442.29,449.37,437.22,441.42,603,600
2023-08-03,436.90,441.73,436.70,440.12,493,900
2023-08-02,449.75,449.75,439.08,441.18,816,100
2023-08-01,448.14,454.56,444.31,453.51,550,400
2023-07-31,451.00,453.11,447.77,451.80,563,100
2023-07-28,455.59,456.13,448.46,450.90,701,900
2023-07-27,455.51,460.25,447.49,448.74,653,900
2023-07-26,455.76,455.76,445.42,449.33,647,900
2023-07-25,445.96,460.20,445.96,456.45,856,900
2023-07-24,454.00,455.00,447.32,450.75,762,700
2023-07-21,454.79,458.30,451.00,454.00,2,549,700
2023-07-20,454.84,458.29,450.70,451.71,800,300
2023-07-19,464.72,465.67,455.76,457.33,685,200
2023-07-18,458.71,465.00,453.19,462.93,924,900
2023-07-17,454.29,462.85,453.22,461.18,673,500
2023-07-14,449.52,457.21,449.52,454.11,865,100
2023-07-13,448.32,451.10,445.64,448.84,794,400
2023-07-12,444.78,445.43,438.23,441.35,800,900
2023-07-11,446.17,446.17,434.14,438.70,944,300
2023-07-10,432.19,447.01,432.02,445.72,1,320,900
2023-07-07,430.04,434.90,426.49,431.29,1,115,400
2023-07-06,426.82,432.66,425.41,431.11,965,700
2023-07-05,432.47,437.57,431.47,432.74,624,400
2023-07-03,431.52,436.51,429.62,434.01,484,100
2023-06-30,431.62,438.35,431.03,435.41,973,600
2023-06-29,429.63,430.87,425.14,427.90,496,200
2023-06-28,424.58,429.61,423.15,427.15,705,600
2023-06-27,420.97,429.13,416.87,426.78,849,100
2023-06-26,420.65,425.50,417.04,417.21,732,200
2023-06-23,422.74,424.57,417.77,419.56,4,197,700
2023-06-22,423.78,427.85,417.81,426.13,918,000
2023-06-21,434.93,437.95,424.89,426.34,1,038,500
2023-06-20,437.34,441.33,431.54,435.50,1,076,800
2023-06-16,448.74,449.88,438.54,441.19,1,890,200
2023-06-15,442.90,449.20,441.85,446.37,904,800
2023-06-14,446.63,451.49,440.85,446.05,999,800
2023-06-13,448.75,451.95,442.09,449.98,829,000
2023-06-12,440.00,446.62,437.75,446.04,711,100
2023-06-09,440.83,447.43,437.77,438.78,782,100
2023-06-08,435.98,440.49,433.24,437.69,799,700
2023-06-07,443.98,446.21,433.76,435.32,1,141,900
2023-06-06,448.25,450.88,442.74,443.84,1,152,500
2023-06-05,448.23,454.09,445.10,450.16,737,100
2023-06-02,455.44,457.85,447.57,449.36,1,047,000
2023-06-01,446.53,460.87,445.84,454.55,1,359,100
2023-05-31,460.45,462.34,451.10,454.96,3,080,100
2023-05-30,454.17,468.03,452.00,464.83,2,692,400
2023-05-26,434.30,450.00,434.30,444.73,1,903,500
2023-05-25,410.03,440.64,409.84,434.20,2,576,300
2023-05-24,390.58,398.00,390.20,395.39,830,400
2023-05-23,399.61,399.68,392.00,393.09,844,400
2023-05-22,405.76,408.11,398.41,401.68,1,078,600
2023-05-19,413.03,418.40,407.47,408.50,1,296,700
2023-05-18,387.50,410.91,386.50,409.71,2,005,700
2023-05-17,377.35,380.06,374.20,377.08,1,103,600
2023-05-16,370.74,377.00,370.21,375.14,859,600
2023-05-15,368.12,373.37,365.67,373.28,856,800
2023-05-12,368.58,369.51,365.60,368.84,761,700
2023-05-11,370.47,370.82,365.59,367.96,597,700
2023-05-10,370.66,372.76,365.46,370.12,563,000
2023-05-09,369.50,370.07,366.05,366.95,559,900
2023-05-08,371.39,373.39,367.34,371.74,628,500
2023-05-05,368.32,372.35,366.89,371.56,679,000
2023-05-04,368.11,370.85,366.10,366.62,551,800
2023-05-03,369.06,373.77,366.10,368.00,580,300
2023-05-02,372.20,374.80,367.15,368.83,648,500
2023-05-01,370.76,372.89,367.94,371.62,538,700
2023-04-28,368.39,374.85,367.20,371.32,743,100
2023-04-27,367.30,369.50,362.06,368.39,566,500
2023-04-26,364.53,370.62,363.99,365.10,718,700
2023-04-25,371.41,372.03,360.37,364.53,842,200
2023-04-24,375.68,380.85,374.21,375.67,490,400
2023-04-21,376.82,381.71,374.62,377.26,558,800
2023-04-20,376.15,382.52,375.53,377.56,513,800
2023-04-19,378.65,379.77,375.19,378.77,432,900
2023-04-18,382.76,384.27,378.18,380.43,385,800
2023-04-17,381.96,382.51,376.47,380.19,463,400
2023-04-14,378.86,383.29,377.75,381.68,613,600
2023-04-13,380.30,382.26,377.39,381.56,1,129,400
2023-04-12,382.38,383.38,376.07,376.52,532,000
2023-04-11,378.00,382.33,377.50,379.40,457,500
2023-04-10,372.97,380.45,371.00,379.99,490,100
2023-04-06,375.62,378.31,373.41,375.92,848,400
2023-04-05,383.25,384.48,376.10,378.36,827,200
2023-04-04,389.88,392.79,384.01,384.93,602,400
2023-04-03,385.18,389.58,384.12,388.94,843,200
2023-03-31,377.00,386.72,375.96,386.25,1,131,900
2023-03-30,376.54,378.78,373.10,375.94,722,100
2023-03-29,373.82,377.25,372.36,375.04,902,400
2023-03-28,372.81,374.83,366.04,369.87,692,200
2023-03-27,377.09,378.78,371.20,373.92,655,100
2023-03-24,378.14,379.96,370.37,376.56,944,500
2023-03-23,375.47,381.13,371.23,379.40,974,400
2023-03-22,373.39,381.86,371.17,371.35,723,600
2023-03-21,377.62,377.62,369.51,374.36,896,100
2023-03-20,373.80,376.01,370.24,375.59,714,600
2023-03-17,374.00,378.30,370.52,372.53,1,640,800
2023-03-16,366.20,377.71,364.24,374.00,884,400
2023-03-15,366.95,370.00,360.62,366.82,903,100
2023-03-14,361.34,370.20,360.11,369.84,999,500
2023-03-13,351.30,363.22,350.58,357.29,785,400
2023-03-10,361.81,364.66,353.63,355.23,758,200
2023-03-09,369.16,374.31,360.43,361.92,774,700
2023-03-08,361.21,370.11,360.50,369.02,828,700
2023-03-07,367.66,370.27,359.33,361.28,551,300
2023-03-06,367.43,371.24,364.99,368.77,776,000
2023-03-03,365.00,367.94,364.13,367.50,620,100
2023-03-02,359.22,364.42,355.53,363.38,536,000
2023-03-01,363.19,365.97,359.96,361.02,645,000
2023-02-28,363.13,368.39,363.13,363.76,882,500
2023-02-27,367.40,368.25,361.58,363.36,1,040,500
2023-02-24,359.00,362.84,357.65,362.28,895,400
2023-02-23,360.00,367.55,359.33,365.48,1,203,400
2023-02-22,354.44,359.06,352.12,355.06,942,300
2023-02-21,350.66,352.70,347.97,352.35,823,900
2023-02-17,354.29,358.64,350.83,354.45,899,600
2023-02-16,357.87,364.04,350.00,359.71,1,744,400
2023-02-15,375.49,379.76,373.75,379.48,869,500
2023-02-14,362.87,378.33,362.87,375.94,1,137,700
2023-02-13,361.26,364.90,360.09,361.76,664,700
2023-02-10,359.99,360.98,356.63,359.11,590,400
2023-02-09,365.97,371.40,362.67,363.71,1,061,400
2023-02-08,365.12,367.61,359.70,360.60,757,000
2023-02-07,359.16,368.52,355.82,366.75,692,700
2023-02-06,357.25,362.80,356.63,359.97,578,400
2023-02-03,360.63,366.34,358.36,361.44,941,300
2023-02-02,372.39,374.65,366.06,368.59,939,700
2023-02-01,353.67,369.61,353.02,367.05,844,300
2023-01-31,350.75,356.25,350.75,353.75,934,200
2023-01-30,354.27,355.76,349.24,349.88,629,800
2023-01-27,353.92,359.87,353.01,357.27,489,800
2023-01-26,354.12,357.35,350.54,356.67,544,800
2023-01-25,344.38,351.25,339.60,349.27,429,300
2023-01-24,349.59,351.00,346.00,349.28,448,300
2023-01-23,342.54,352.09,341.69,350.33,661,800
2023-01-20,330.34,343.80,329.89,342.42,816,600
2023-01-19,331.83,337.55,330.44,331.28,630,700
2023-01-18,339.46,346.10,335.24,335.66,587,100
2023-01-17,334.08,339.64,331.03,337.30,653,900
2023-01-13,330.06,333.78,327.56,332.97,550,700
2023-01-12,335.00,336.49,328.41,333.10,535,300
2023-01-11,329.60,334.88,328.94,334.35,592,100
2023-01-10,324.56,328.53,324.20,327.63,530,500
2023-01-09,323.33,332.60,323.33,325.95,717,700
2023-01-06,318.89,323.35,312.27,320.54,603,900
2023-01-05,317.75,318.10,312.25,315.04,794,200
2023-01-04,323.76,325.92,315.98,320.93,790,400
2023-01-03,323.00,326.31,315.56,319.68,706,100
2022-12-30,317.84,319.33,315.42,319.29,541,000
2022-12-29,319.16,324.79,318.72,321.98,416,200
2022-12-28,317.82,321.06,314.92,315.31,349,300
2022-12-27,320.79,320.79,315.55,317.95,467,900
2022-12-23,318.99,320.59,315.62,320.21,341,200
2022-12-22,325.46,326.37,316.02,321.72,677,000
2022-12-21,325.54,331.62,322.65,330.22,532,100
2022-12-20,320.65,326.40,320.65,324.43,1,056,600
2022-12-19,329.69,330.24,320.66,323.39,1,218,400
2022-12-16,331.28,335.51,326.12,329.12,2,397,100
2022-12-15,327.45,328.22,322.35,323.82,1,343,800
2022-12-14,337.96,342.36,328.61,332.03,1,483,000
2022-12-13,349.39,350.45,336.26,338.13,1,130,400
2022-12-12,325.49,334.79,325.08,334.34,968,700
2022-12-09,329.29,331.16,325.14,325.75,819,000
2022-12-08,325.20,333.43,325.00,330.61,996,500
2022-12-07,327.15,328.60,321.26,323.80,817,600
2022-12-06,331.20,331.20,324.74,328.02,858,800
2022-12-05,345.39,345.39,328.49,331.27,1,358,200
2022-12-02,348.97,350.50,340.50,348.17,1,076,300
2022-12-01,362.59,363.99,348.53,357.84,1,310,200
2022-11-30,325.23,340.05,322.40,339.54,1,586,000
2022-11-29,328.07,330.66,320.59,323.66,561,100
2022-11-28,332.24,336.30,328.24,329.12,837,700
2022-11-25,333.32,334.82,331.79,332.64,247,500
2022-11-23,326.73,336.31,325.55,334.29,395,900
2022-11-22,325.85,327.18,321.16,326.96,562,700
2022-11-21,325.57,327.22,322.86,324.82,567,700
2022-11-18,329.17,329.62,323.04,325.89,477,600
2022-11-17,325.23,328.14,319.98,324.27,710,100
2022-11-16,333.00,334.21,327.26,331.45,709,400
2022-11-15,338.09,340.61,332.53,334.20,700,600
2022-11-14,329.99,334.48,328.51,330.68,897,900
2022-11-11,318.47,331.45,317.11,331.40,1,276,000
2022-11-10,307.74,320.03,306.17,318.76,1,269,600
2022-11-09,288.57,291.96,287.00,290.08,1,040,000
2022-11-08,282.40,292.48,280.60,291.58,1,118,100
2022-11-07,278.88,281.68,275.33,280.53,1,239,700
2022-11-04,283.38,283.38,269.88,276.57,1,025,800
2022-11-03,278.71,284.54,276.66,279.29,857,300
2022-11-02,292.45,295.48,280.78,281.11,797,300
2022-11-01,297.45,298.35,288.71,291.17,689,900
2022-10-31,293.33,295.48,291.10,292.55,781,400
2022-10-28,291.24,296.60,290.36,295.84,662,500
2022-10-27,295.57,296.58,287.77,289.19,918,200
2022-10-26,292.97,300.00,289.80,292.73,992,200
2022-10-25,303.90,304.81,292.94,294.73,1,422,200
2022-10-24,298.38,303.33,294.26,301.68,837,700
2022-10-21,288.80,298.58,285.18,296.50,1,290,700
2022-10-20,290.40,296.32,286.56,289.71,669,300
2022-10-19,287.27,292.02,286.03,288.96,451,400
2022-10-18,297.13,300.33,289.29,292.27,834,500
2022-10-17,285.81,292.11,285.81,289.26,1,087,900
2022-10-14,290.72,290.93,277.22,277.61,990,800
2022-10-13,268.42,288.91,267.00,287.43,2,003,500
2022-10-12,278.56,281.50,275.95,276.19,1,851,700
2022-10-11,292.92,292.92,275.96,277.34,2,919,900
2022-10-10,307.09,308.13,292.84,292.98,1,918,100
2022-10-07,314.41,315.88,305.24,307.01,1,093,400
2022-10-06,320.62,326.00,319.80,321.93,917,700
2022-10-05,316.29,323.87,315.96,321.37,1,094,300
2022-10-04,322.58,326.11,320.66,321.70,801,700
2022-10-03,308.79,320.16,307.70,316.98,1,077,100
2022-09-30,307.69,313.01,304.72,305.51,1,312,400
2022-09-29,310.20,311.76,306.18,309.22,901,500
2022-09-28,307.70,314.89,304.65,313.16,937,600
2022-09-27,307.20,308.69,301.16,306.09,874,700
2022-09-26,303.95,309.19,302.84,303.34,1,010,400
2022-09-23,304.62,305.23,299.67,303.28,845,200
2022-09-22,310.37,312.71,306.31,306.97,1,107,700
2022-09-21,319.27,325.52,313.08,313.11,882,600
2022-09-20,315.04,317.74,313.55,316.26,1,424,500
2022-09-19,310.63,318.02,310.58,317.32,1,496,900
2022-09-16,310.79,314.49,308.07,314.21,2,322,200
2022-09-15,321.47,323.35,314.06,315.94,1,500,000
2022-09-14,327.09,328.00,319.63,323.37,1,376,800
2022-09-13,329.67,331.28,322.64,323.61,1,282,500
2022-09-12,341.93,342.46,337.39,339.56,830,100
2022-09-09,335.95,342.31,334.27,340.18,839,500
2022-09-08,330.15,334.48,328.09,333.76,854,900
2022-09-07,328.55,333.51,325.48,332.04,915,900
2022-09-06,330.73,331.66,323.97,326.83,1,230,300
2022-09-02,334.14,338.08,329.45,330.56,1,073,900
2022-09-01,341.26,342.53,324.63,332.49,1,619,600
2022-08-31,348.96,353.30,344.43,346.02,1,653,700
2022-08-30,350.53,351.39,341.62,346.00,1,037,200
2022-08-29,350.54,354.49,347.34,347.49,1,096,200
2022-08-26,362.77,363.54,352.95,355.00,1,219,600
2022-08-25,359.83,363.36,357.56,363.26,777,700
2022-08-24,357.78,360.62,355.38,358.75,695,000
2022-08-23,354.43,361.24,354.25,359.00,1,016,600
2022-08-22,358.32,361.60,356.07,358.10,1,296,800
2022-08-19,368.85,368.85,361.17,363.00,1,524,100
2022-08-18,384.35,391.00,371.86,373.32,1,923,400
2022-08-17,384.26,384.76,378.41,381.00,1,475,500
2022-08-16,385.51,389.49,382.63,385.67,697,000
2022-08-15,385.10,391.17,383.91,390.45,654,700
2022-08-12,377.96,386.00,376.71,385.44,931,100
2022-08-11,380.08,380.89,373.60,377.01,910,100
2022-08-10,380.19,381.70,373.35,375.71,1,179,000
2022-08-09,369.19,375.07,368.98,372.61,820,200
2022-08-08,375.00,378.47,369.76,372.07,725,200
2022-08-05,366.09,375.69,365.50,374.29,660,500
2022-08-04,371.57,372.47,367.67,372.29,756,600
2022-08-03,359.00,372.41,359.00,370.84,1,175,700
2022-08-02,367.46,371.81,366.22,368.36,1,405,300
2022-08-01,364.17,371.25,361.41,370.01,1,022,800
2022-07-29,363.44,369.25,360.65,367.50,980,500
2022-07-28,354.24,363.40,353.01,362.64,821,000
2022-07-27,344.07,357.21,343.17,353.54,1,124,600
2022-07-26,338.58,343.31,335.73,339.41,1,048,200
2022-07-25,336.94,338.58,333.15,337.67,806,700
2022-07-22,339.93,343.17,335.67,338.04,813,400
2022-07-21,331.01,339.14,330.43,338.66,774,200
2022-07-20,325.00,332.52,323.91,330.70,767,500
2022-07-19,315.58,324.30,315.19,323.51,955,200
2022-07-18,316.43,317.79,308.93,310.43,729,800
2022-07-15,308.76,314.98,307.90,314.30,832,500
2022-07-14,301.08,306.94,294.29,305.02,558,600
2022-07-13,299.78,305.44,296.66,303.07,720,100
2022-07-12,317.24,319.66,305.09,306.41,745,600
2022-07-11,314.74,318.43,311.39,315.19,496,000
2022-07-08,314.23,318.80,312.54,317.54,578,100
2022-07-07,309.63,320.80,309.63,319.43,864,000
2022-07-06,304.41,310.74,299.86,309.63,913,100
2022-07-05,298.23,303.77,296.31,302.91,891,200
2022-07-01,302.25,304.13,295.45,301.23,916,500
2022-06-30,301.23,307.93,300.40,303.70,1,039,700
2022-06-29,304.42,309.54,303.40,306.06,855,800
2022-06-28,312.02,314.13,302.24,303.67,795,100
2022-06-27,313.79,317.21,310.23,311.86,750,300
2022-06-24,313.26,318.58,311.10,317.47,1,946,200
2022-06-23,305.07,309.93,301.63,309.25,815,600
2022-06-22,297.70,305.15,297.19,301.24,814,200
2022-06-21,299.90,306.26,299.56,302.22,904,000
2022-06-17,289.37,301.39,289.37,296.18,1,823,000
2022-06-16,294.81,297.63,286.31,289.49,1,094,100
2022-06-15,297.80,309.09,296.81,303.24,903,300
2022-06-14,291.96,298.35,288.98,295.16,815,300
2022-06-13,293.60,296.94,288.67,290.25,1,202,500
2022-06-10,310.05,310.97,303.93,305.39,711,900
2022-06-09,321.68,325.29,317.07,317.08,565,000
2022-06-08,327.60,328.19,321.25,322.89,688,500
2022-06-07,323.09,330.71,323.01,329.53,872,900
2022-06-06,332.13,335.29,327.22,328.79,503,800
2022-06-03,325.49,328.76,323.32,327.68,742,200
2022-06-02,316.45,331.22,315.53,330.81,729,400
2022-06-01,321.99,324.66,313.09,316.86,781,600
2022-05-31,323.67,324.50,314.38,319.20,1,219,300
2022-05-27,311.44,323.48,309.24,322.96,1,162,600
2022-05-26,299.72,308.84,297.02,306.10,859,500
2022-05-25,295.77,302.78,292.52,299.17,967,700
2022-05-24,302.30,303.48,294.25,296.37,1,181,100
2022-05-23,311.24,311.24,301.59,306.98,1,022,300
2022-05-20,303.86,308.11,293.33,306.72,1,833,300
2022-05-19,289.00,307.00,287.26,300.52,2,361,500
2022-05-18,277.63,281.62,270.74,272.57,1,262,500
2022-05-17,279.84,284.50,276.03,282.81,800,000
2022-05-16,273.42,276.96,270.00,273.73,818,000
2022-05-13,267.38,277.55,266.77,275.99,917,700
2022-05-12,257.94,264.90,255.02,262.06,855,500
2022-05-11,266.87,272.80,259.89,260.83,817,100
2022-05-10,270.93,275.10,260.70,270.51,1,068,000
2022-05-09,269.24,271.29,260.41,262.41,1,209,400
2022-05-06,279.84,280.50,268.71,274.71,1,119,500
2022-05-05,293.23,294.86,278.37,282.34,1,145,800
2022-05-04,293.38,299.94,282.84,299.19,1,064,200
2022-05-03,290.45,294.70,287.70,292.21,705,300
2022-05-02,286.55,291.23,280.90,290.71,1,028,900
2022-04-29,298.55,302.37,285.54,286.79,763,100
2022-04-28,291.95,305.06,290.71,301.86,724,100
2022-04-27,283.00,293.83,283.00,287.03,1,005,400
2022-04-26,290.92,292.94,281.30,282.90,1,022,200
2022-04-25,286.07,291.48,284.30,290.92,829,900
2022-04-22,294.97,297.81,284.54,285.00,1,062,000
2022-04-21,308.82,312.58,293.85,295.50,665,800
2022-04-20,308.10,310.37,304.27,306.26,775,200
2022-04-19,294.74,307.19,294.74,306.33,679,600
2022-04-18,293.11,300.00,292.18,297.12,757,600
2022-04-14,306.31,306.31,293.18,294.77,1,486,400
2022-04-13,311.23,322.08,296.64,306.72,2,916,700
2022-04-12,316.42,320.77,309.35,310.83,775,900
2022-04-11,316.02,317.38,307.52,309.77,978,300
2022-04-08,324.29,325.35,317.05,319.83,783,100
2022-04-07,322.49,329.93,321.90,326.37,782,600
2022-04-06,323.30,329.61,318.50,324.85,931,300
2022-04-05,339.27,340.15,325.60,327.71,813,900
2022-04-04,336.97,341.16,336.00,340.15,654,400
2022-04-01,333.74,338.10,330.22,334.98,862,600
2022-03-31,334.15,340.09,331.08,333.27,1,089,800
2022-03-30,337.32,339.67,330.75,332.59,706,800
2022-03-29,336.61,342.59,333.96,341.00,981,500
2022-03-28,318.28,332.86,318.00,332.38,974,700
2022-03-25,324.85,326.00,314.79,318.91,719,200
2022-03-24,318.22,325.57,315.36,325.56,696,500
2022-03-23,321.99,324.11,316.27,316.44,846,700
2022-03-22,313.86,325.74,311.29,325.22,1,064,700
2022-03-21,315.36,317.01,307.19,314.31,835,300
2022-03-18,301.89,320.63,301.88,318.21,2,386,300
2022-03-17,300.50,304.76,297.21,304.05,1,175,200
2022-03-16,291.56,300.22,285.49,300.08,1,360,200
2022-03-15,281.39,287.14,278.28,285.50,2,278,200
2022-03-14,292.07,296.03,277.16,278.98,1,192,000
2022-03-11,305.00,305.92,293.15,293.69,953,200
2022-03-10,300.44,303.84,291.52,300.84,941,800
2022-03-09,303.72,309.71,302.20,307.79,809,800
2022-03-08,292.22,305.79,289.34,296.35,911,100
2022-03-07,309.72,311.07,295.38,295.46,933,500
2022-03-04,306.80,311.77,302.83,309.06,878,400
2022-03-03,317.23,318.61,306.57,308.84,704,900
2022-03-02,310.54,317.53,306.98,315.32,621,400
2022-03-01,311.98,314.49,305.22,307.71,881,800
2022-02-28,307.70,316.01,304.30,312.39,1,083,500
2022-02-25,306.09,312.18,301.06,311.15,1,040,600
2022-02-24,279.53,309.46,275.00,307.80,1,498,300
2022-02-23,294.20,298.25,285.13,285.53,1,147,900
2022-02-22,287.15,294.43,283.99,289.47,1,321,100
2022-02-18,293.41,294.44,285.06,287.63,1,077,000
2022-02-17,318.59,319.63,292.36,293.31,1,302,600
2022-02-16,302.66,308.12,297.87,306.79,995,500
2022-02-15,299.99,306.41,298.77,306.15,819,500
2022-02-14,293.70,300.16,290.87,294.96,826,600
2022-02-11,311.91,314.74,293.17,295.29,963,800
2022-02-10,314.02,321.82,308.28,311.15,878,700
2022-02-09,314.07,324.52,312.68,324.18,832,400
2022-02-08,302.98,310.94,302.25,309.11,607,600
2022-02-07,309.52,313.54,303.83,305.14,829,800
2022-02-04,302.08,311.97,300.14,308.89,771,500
2022-02-03,308.65,312.50,301.63,303.51,868,200
2022-02-02,314.91,316.33,310.02,315.63,690,600
2022-02-01,311.84,313.24,305.82,311.82,822,100
2022-01-31,296.36,310.84,295.99,310.50,925,700
2022-01-28,286.41,296.87,279.43,296.35,1,108,000
2022-01-27,293.46,294.87,282.34,285.36,984,100
2022-01-26,298.92,303.87,282.86,288.56,1,225,200
2022-01-25,297.72,303.50,290.35,291.66,913,800
2022-01-24,299.97,308.76,287.31,308.34,1,374,800
2022-01-21,309.25,314.95,303.00,303.31,1,152,700
2022-01-20,314.94,322.69,309.48,309.96,657,000
2022-01-19,314.61,319.99,311.52,312.14,770,300
2022-01-18,318.22,320.40,312.01,313.48,878,000
2022-01-14,324.57,330.29,321.92,326.16,651,300
2022-01-13,340.42,342.87,326.45,327.51,803,300
2022-01-12,343.93,346.79,335.89,338.59,781,500
2022-01-11,326.54,342.33,326.54,340.38,1,068,500
2022-01-10,322.77,330.15,318.77,329.63,986,900
2022-01-07,341.67,345.06,330.11,330.36,902,200
2022-01-06,336.50,348.43,335.20,344.97,977,100
2022-01-05,349.95,354.87,339.28,339.77,968,400
2022-01-04,360.10,361.46,345.41,352.99,895,200
2022-01-03,367.13,371.73,358.64,361.10,674,800
2021-12-31,370.48,370.48,367.03,368.50,654,700
2021-12-30,374.16,375.00,370.19,370.81,386,900
2021-12-29,372.05,374.48,368.37,373.44,530,900
2021-12-28,376.92,377.60,369.98,372.15,471,800
2021-12-27,368.37,375.72,368.36,375.59,893,900
2021-12-23,364.37,368.89,363.75,366.15,407,900
2021-12-22,359.07,365.33,358.04,364.83,474,600
2021-12-21,349.57,359.75,344.57,359.07,810,200
2021-12-20,341.98,346.93,340.00,346.11,731,500
2021-12-17,346.72,355.00,342.20,348.04,2,166,100
2021-12-16,363.08,365.84,351.80,352.92,890,900
2021-12-15,347.02,362.00,345.87,361.30,1,248,000
2021-12-14,354.97,357.88,341.93,345.93,940,300
2021-12-13,362.59,365.18,360.57,362.23,743,500
2021-12-10,358.68,362.78,355.76,362.34,882,300
2021-12-09,361.55,364.61,354.26,354.48,538,100
2021-12-08,357.44,365.16,353.20,364.36,624,800
2021-12-07,352.16,359.64,352.01,356.20,1,223,200
2021-12-06,343.78,346.47,334.11,345.45,935,000
2021-12-03,350.20,352.13,339.10,344.56,1,098,800
2021-12-02,354.80,365.38,345.10,349.67,1,590,500
2021-12-01,344.74,348.50,334.10,334.75,1,167,400
2021-11-30,355.99,355.99,340.51,341.00,1,321,500
2021-11-29,349.75,357.58,346.58,355.87,740,600
2021-11-26,348.59,353.87,340.12,342.16,413,700
2021-11-24,341.23,349.65,337.02,349.21,753,700
2021-11-23,346.77,351.87,339.00,344.66,621,100
2021-11-22,360.00,361.22,347.54,347.97,632,700
2021-11-19,355.25,359.64,354.95,357.95,572,000
2021-11-18,355.00,355.01,350.22,352.09,401,500
2021-11-17,355.00,356.04,350.67,353.92,348,400
2021-11-16,344.93,354.63,344.48,353.46,433,700
2021-11-15,349.36,349.36,343.32,345.75,459,100
2021-11-12,341.21,347.09,340.34,347.01,803,100
2021-11-11,341.18,344.02,339.31,340.36,391,800
2021-11-10,347.03,348.85,337.02,337.66,562,100
2021-11-09,343.48,348.39,341.91,348.26,703,600
2021-11-08,341.74,344.12,338.61,342.91,370,400
2021-11-05,343.37,345.12,340.51,340.75,515,700
2021-11-04,333.84,341.85,331.38,341.72,634,200
2021-11-03,333.30,334.04,328.27,333.41,460,600
2021-11-02,330.91,334.60,329.83,333.19,532,300
2021-11-01,333.45,335.73,329.30,329.84,547,700
2021-10-29,325.63,333.64,325.39,333.18,578,500
2021-10-28,320.55,327.08,320.55,326.78,554,100
2021-10-27,327.47,328.56,318.86,319.13,822,500
2021-10-26,326.00,332.40,325.55,328.03,665,500
2021-10-25,321.50,325.42,321.13,324.00,427,900
2021-10-22,322.59,326.94,320.50,321.12,520,200
2021-10-21,315.70,322.21,314.21,321.01,625,500
2021-10-20,314.00,316.44,312.68,315.50,562,800
2021-10-19,308.31,312.02,307.25,311.00,513,400
2021-10-18,305.20,307.46,303.90,307.22,420,200
2021-10-15,305.63,306.66,304.14,306.26,418,500
2021-10-14,301.13,306.23,300.54,304.83,598,900
2021-10-13,295.80,299.48,295.39,296.30,616,200
2021-10-12,291.35,295.00,290.46,292.04,576,400
2021-10-11,290.63,293.76,288.53,288.74,356,400
2021-10-08,299.15,299.29,291.01,291.66,635,000
2021-10-07,298.24,302.10,297.30,298.37,760,500
2021-10-06,290.00,294.83,288.82,294.57,707,700
2021-10-05,291.31,295.34,289.36,293.35,714,500
2021-10-04,299.45,300.35,287.02,289.25,893,900
2021-10-01,299.41,303.95,295.85,302.49,623,400
2021-09-30,305.00,306.73,298.31,299.41,721,200
2021-09-29,303.22,305.59,301.15,302.62,682,000
2021-09-28,307.36,308.96,299.64,301.93,1,005,900
2021-09-27,318.07,318.95,312.38,313.40,610,600
2021-09-24,320.59,322.59,318.19,321.94,370,100
2021-09-23,322.46,324.79,320.47,322.88,441,600
2021-09-22,319.00,321.92,314.03,320.52,840,600
2021-09-21,323.36,323.61,317.70,317.90,933,900
2021-09-20,321.67,324.00,317.44,321.30,909,800
2021-09-17,329.06,331.33,319.83,325.54,2,041,600
2021-09-16,335.50,336.85,333.20,335.38,738,600
2021-09-15,333.00,336.64,331.74,336.09,587,100
2021-09-14,332.75,334.07,330.40,332.59,613,800
2021-09-13,334.49,336.53,327.52,331.59,534,700
2021-09-10,335.58,336.78,332.08,332.49,491,600
2021-09-09,336.39,336.81,332.60,333.55,523,200
2021-09-08,335.80,338.68,333.86,336.59,448,600
2021-09-07,336.50,338.00,331.77,336.32,655,300
2021-09-03,337.04,340.66,335.92,336.64,732,500
2021-09-02,334.92,338.12,334.53,337.74,706,900
2021-09-01,331.69,335.00,331.46,333.63,693,400
2021-08-31,335.01,335.01,330.81,332.24,830,400
2021-08-30,331.94,334.77,331.94,334.28,452,100
