Date,Open,High,Low,Close,Volume
"Dec 30, 2022","35.88","35.99","35.39","35.82","570,300"
"Dec 29, 2022","35.66","36.35","35.56","36.18","339,700"
"Dec 28, 2022","35.83","36.22","35.31","35.35","329,200"
"Dec 27, 2022","36.01","36.21","35.75","35.98","395,800"
"Dec 23, 2022","36.15","36.25","35.58","35.99","350,800"
"Dec 22, 2022","36.47","36.71","35.42","36.25","673,000"
"Dec 21, 2022","36.71","37.25","36.56","37.00","564,700"
"Dec 20, 2022","36.00","36.75","35.89","36.48","541,500"
"Dec 19, 2022","37.00","37.10","36.05","36.28","786,000"
"Dec 16, 2022","36.86","37.43","36.78","37.15","2,934,000"
"Dec 15, 2022","37.59","37.77","36.96","37.29","797,400"
"Dec 14, 2022","38.19","38.67","37.67","37.98","627,600"
"Dec 13, 2022","39.00","39.34","38.14","38.24","748,100"
"Dec 12, 2022","37.26","38.07","37.01","38.01","526,500"
"Dec 9, 2022","37.78","37.96","37.40","37.40","504,500"
"Dec 8, 2022","37.57","38.18","37.36","37.87","485,400"
"Dec 7, 2022","36.91","37.57","36.45","37.23","673,600"
"Dec 6, 2022","37.80","37.87","36.90","37.18","758,300"
"Dec 5, 2022","38.07","38.34","37.63","37.88","678,800"
"Dec 2, 2022","37.80","38.62","37.62","38.36","660,800"
"Dec 1, 2022","38.59","39.29","38.21","38.70","675,500"
"Nov 30, 2022","37.15","38.38","36.83","38.38","1,046,300"
"Nov 29, 2022","36.94","37.44","36.87","37.13","630,600"
"Nov 28, 2022","36.91","37.29","36.70","36.79","702,000"
"Nov 25, 2022","37.69","37.69","37.28","37.30","210,300"
"Nov 23, 2022","37.25","37.88","37.21","37.75","600,500"
"Nov 22, 2022","37.00","37.32","36.53","37.25","840,400"
"Nov 21, 2022","37.36","37.61","36.67","36.98","998,500"
"Nov 18, 2022","38.02","38.09","37.36","37.61","1,184,100"
"Nov 17, 2022","36.91","37.87","36.31","37.30","897,500"
"Nov 16, 2022","37.74","38.50","37.33","37.39","859,700"
"Nov 15, 2022","38.55","38.66","37.81","38.43","800,500"
"Nov 14, 2022","37.18","38.88","37.00","37.66","1,028,900"
"Nov 11, 2022","37.69","37.95","37.06","37.49","875,600"
"Nov 10, 2022","37.39","37.62","36.77","37.47","1,351,500"
"Nov 9, 2022","35.87","37.39","35.81","36.07","1,375,000"
"Nov 8, 2022","37.00","37.25","35.68","36.29","1,270,300"
"Nov 7, 2022","35.36","36.75","34.41","36.57","1,678,400"
"Nov 4, 2022","34.83","35.45","34.19","35.29","1,390,400"
"Nov 3, 2022","33.02","34.36","32.72","33.99","1,134,900"
"Nov 2, 2022","32.77","34.81","32.75","33.41","2,238,500"
"Nov 1, 2022","32.32","32.87","31.17","32.83","2,240,200"
"Oct 31, 2022","29.88","30.44","29.39","30.16","1,190,600"
"Oct 28, 2022","29.37","30.25","29.27","30.04","783,500"
"Oct 27, 2022","29.25","29.83","28.71","29.48","808,400"
"Oct 26, 2022","29.00","29.75","28.53","29.05","638,400"
"Oct 25, 2022","29.00","29.77","28.99","29.23","871,400"
"Oct 24, 2022","28.65","28.95","28.24","28.93","665,800"
"Oct 21, 2022","27.68","28.63","27.53","28.49","647,800"
"Oct 20, 2022","27.34","28.13","27.26","27.52","610,300"
"Oct 19, 2022","27.06","27.45","26.91","27.21","571,200"
"Oct 18, 2022","27.15","27.53","26.76","27.06","711,600"
"Oct 17, 2022","26.41","26.73","26.14","26.45","590,300"
"Oct 14, 2022","26.78","26.89","25.72","25.85","700,000"
"Oct 13, 2022","25.21","26.81","24.81","26.59","914,700"
"Oct 12, 2022","26.41","26.58","25.96","25.97","528,200"
"Oct 11, 2022","26.31","26.88","25.79","26.45","770,700"
"Oct 10, 2022","27.36","27.45","25.70","26.53","756,200"
"Oct 7, 2022","27.62","28.00","27.21","27.36","777,000"
"Oct 6, 2022","27.80","28.75","27.69","28.17","752,300"
"Oct 5, 2022","27.14","27.93","27.10","27.91","600,500"
"Oct 4, 2022","27.11","27.76","27.03","27.43","706,300"
"Oct 3, 2022","25.67","26.82","25.59","26.65","657,800"
"Sep 30, 2022","25.41","26.26","25.40","25.42","1,000,100"
"Sep 29, 2022","25.52","25.85","25.17","25.77","711,500"
"Sep 28, 2022","25.58","26.09","25.32","25.94","903,600"
"Sep 27, 2022","25.41","25.97","25.18","25.44","858,800"
"Sep 26, 2022","24.63","25.36","24.33","24.85","511,600"
"Sep 23, 2022","24.67","24.72","23.84","24.63","691,100"
"Sep 22, 2022","25.34","25.34","24.51","24.94","631,000"
"Sep 21, 2022","25.61","26.41","25.38","25.38","561,800"
"Sep 20, 2022","25.34","25.78","25.34","25.56","407,300"
"Sep 19, 2022","24.94","25.81","24.85","25.55","421,000"
"Sep 16, 2022","24.95","25.33","24.67","25.29","897,500"
"Sep 15, 2022","25.12","25.44","24.70","25.13","756,100"
"Sep 14, 2022","25.08","25.52","24.84","25.34","419,700"
"Sep 13, 2022","25.36","25.90","24.84","24.87","702,000"
"Sep 12, 2022","25.84","26.44","25.77","26.24","407,900"
"Sep 9, 2022","25.34","25.66","25.34","25.54","352,400"
"Sep 8, 2022","24.42","25.20","24.24","25.07","392,600"
"Sep 7, 2022","24.65","24.76","24.31","24.68","484,700"
"Sep 6, 2022","24.67","24.81","24.29","24.59","447,400"
"Sep 2, 2022","25.00","25.25","24.43","24.68","374,600"
"Sep 1, 2022","25.34","25.34","24.12","24.57","753,900"
"Aug 31, 2022","25.75","26.00","25.54","25.79","574,400"
"Aug 30, 2022","26.08","26.13","25.38","25.73","445,900"
"Aug 29, 2022","26.04","26.28","25.66","25.85","433,800"
"Aug 26, 2022","28.34","28.34","26.25","26.33","509,100"
"Aug 25, 2022","27.75","28.55","27.75","28.39","713,400"
"Aug 24, 2022","27.51","27.94","27.51","27.82","492,100"
"Aug 23, 2022","27.51","28.02","27.44","27.63","568,100"
"Aug 22, 2022","27.42","27.71","27.25","27.36","740,900"
"Aug 19, 2022","28.34","28.37","27.80","27.86","749,200"
"Aug 18, 2022","27.78","28.79","27.59","28.65","785,900"
"Aug 17, 2022","27.66","27.81","27.24","27.67","623,800"
"Aug 16, 2022","27.74","28.25","27.65","27.93","879,300"
"Aug 15, 2022","27.60","28.04","27.50","27.91","823,900"
"Aug 12, 2022","26.49","27.59","26.22","27.54","717,000"
"Aug 11, 2022","26.08","26.64","26.05","26.25","352,000"
"Aug 10, 2022","26.22","26.22","25.72","26.04","508,500"
"Aug 9, 2022","26.03","26.20","25.21","25.54","762,300"
"Aug 8, 2022","26.71","26.93","26.27","26.52","435,800"
"Aug 5, 2022","26.86","27.13","26.41","26.88","513,100"
"Aug 4, 2022","26.54","27.11","26.30","27.07","522,700"
"Aug 3, 2022","26.06","26.72","26.06","26.54","529,300"
"Aug 2, 2022","25.20","26.45","25.16","26.23","915,600"
"Aug 1, 2022","25.10","25.52","24.84","25.26","576,200"
"Jul 29, 2022","24.98","25.48","24.75","25.28","545,700"
"Jul 28, 2022","24.56","25.25","24.49","25.06","513,500"
"Jul 27, 2022","24.02","24.60","23.90","24.49","524,000"
"Jul 26, 2022","23.62","23.99","23.62","23.74","298,900"
"Jul 25, 2022","23.68","23.82","23.51","23.77","390,200"
"Jul 22, 2022","24.34","24.42","23.56","23.79","885,000"
"Jul 21, 2022","24.04","24.46","23.79","24.45","592,900"
"Jul 20, 2022","23.00","23.89","22.80","23.76","705,600"
"Jul 19, 2022","22.39","23.12","22.39","23.02","567,700"
"Jul 18, 2022","22.45","22.45","21.89","22.00","344,500"
"Jul 15, 2022","22.00","22.11","21.71","22.06","440,200"
"Jul 14, 2022","21.28","21.64","20.89","21.46","446,700"
"Jul 13, 2022","20.78","21.48","20.78","21.33","526,800"
"Jul 12, 2022","21.25","21.46","21.00","21.10","459,300"
"Jul 11, 2022","21.13","21.28","20.95","21.14","350,600"
"Jul 8, 2022","21.30","21.62","20.50","21.42","623,600"
"Jul 7, 2022","21.29","21.69","21.14","21.47","579,500"
"Jul 6, 2022","21.05","21.48","20.74","20.86","657,000"
"Jul 5, 2022","20.08","21.01","20.00","21.00","999,200"
"Jul 1, 2022","21.10","21.30","20.16","20.59","714,800"
"Jun 30, 2022","21.35","21.85","21.04","21.49","970,700"
