Date,Open,High,Low,Close,Adj Close,Volume
2024-11-25,180.94,183.00,179.78,181.34,179.44,2,267,200
2024-11-22,178.08,180.00,177.27,178.96,176.47,1,573,600
2024-11-21,176.45,179.28,175.42,178.17,175.69,1,503,600
2024-11-20,174.49,176.17,172.95,175.99,173.54,1,317,600
2024-11-19,176.24,177.08,173.37,174.05,171.63,1,841,200
2024-11-18,178.14,180.18,176.61,178.07,175.59,1,356,400
2024-11-15,181.71,182.17,175.94,177.63,175.16,2,703,500
2024-11-14,186.01,186.47,180.35,180.77,178.25,2,341,100
2024-11-13,190.97,191.41,185.70,186.01,183.42,2,535,000
2024-11-12,196.59,196.76,191.47,191.91,189.24,1,424,600
2024-11-11,199.27,199.56,197.16,197.81,195.06,1,813,800
2024-11-08,202.11,202.38,197.85,199.87,197.09,936,000
2024-11-07,202.35,204.76,202.22,202.90,200.08,1,342,200
2024-11-06,201.81,204.24,196.70,202.79,199.97,1,717,000
2024-11-05,191.91,193.18,190.77,192.99,190.30,1,205,300
2024-11-04,188.76,192.45,188.33,191.10,188.44,1,185,500
2024-11-01,188.00,190.75,187.73,188.38,185.76,1,502,600
2024-10-31,194.58,194.58,188.12,188.23,185.61,2,077,300
2024-10-30,200.21,210.97,194.48,195.06,192.35,3,020,400
2024-10-29,217.70,221.38,217.50,219.90,216.84,1,922,200
2024-10-28,215.37,220.51,215.37,218.50,215.46,1,216,700
2024-10-25,219.90,220.71,216.94,217.01,213.99,981,400
2024-10-24,218.59,220.80,217.53,219.16,216.11,550,600
2024-10-23,216.12,218.43,215.92,217.65,214.62,608,600
2024-10-22,219.11,219.11,216.45,217.08,214.06,543,500
2024-10-21,217.65,220.72,216.37,220.35,217.28,901,700
2024-10-18,222.04,222.17,217.97,218.31,215.27,933,600
2024-10-17,222.04,222.34,219.97,221.18,218.10,1,176,500
2024-10-16,220.97,221.73,219.64,220.16,217.10,820,900
2024-10-15,223.17,224.35,219.15,220.13,217.07,959,500
2024-10-14,221.67,224.50,220.44,223.48,220.37,738,000
2024-10-11,222.51,223.20,219.26,222.00,218.91,930,900
2024-10-10,223.88,225.38,221.49,221.69,218.60,992,300
2024-10-09,223.88,226.79,223.36,225.70,222.56,422,300
2024-10-08,220.68,224.05,219.59,223.61,220.50,668,800
2024-10-07,219.66,221.55,218.87,220.49,217.42,416,700
2024-10-04,221.75,222.41,218.53,221.69,218.60,499,900
2024-10-03,217.86,220.49,216.75,218.26,215.22,316,400
2024-10-02,217.50,220.90,215.87,219.35,216.30,502,000
2024-10-01,223.48,223.50,215.22,217.81,214.78,1,181,400
2024-09-30,226.66,227.15,223.89,226.30,223.15,517,800
2024-09-27,228.79,229.00,225.73,226.55,223.40,386,800
2024-09-26,224.01,229.02,223.42,228.63,225.45,1,042,500
2024-09-25,224.17,224.17,220.90,221.28,218.20,506,900
2024-09-24,224.06,224.78,222.30,224.28,221.16,576,900
2024-09-23,225.96,226.19,223.18,224.11,220.99,717,500
2024-09-20,230.86,230.86,223.53,225.30,222.16,1,749,900
2024-09-19,226.77,228.50,223.21,227.87,224.70,643,000
2024-09-18,224.14,225.84,221.31,221.62,218.54,528,100
2024-09-17,221.45,225.57,220.79,223.32,220.21,556,300
2024-09-16,220.26,221.75,218.68,221.45,218.37,535,400
2024-09-13,219.93,222.17,219.50,220.15,217.09,509,700
2024-09-12,216.25,218.80,214.72,218.64,215.60,534,600
2024-09-11,216.02,216.16,207.81,215.80,212.80,744,100
2024-09-10,212.91,216.09,212.31,215.86,212.86,745,800
2024-09-09,213.47,214.90,211.77,214.14,211.16,623,100
2024-09-06,215.29,216.45,211.71,212.21,209.26,709,000
2024-09-05,214.50,215.95,212.99,214.82,211.83,774,400
2024-09-04,216.59,218.83,214.23,214.48,211.49,810,300
2024-09-03,224.52,225.34,216.64,217.67,214.64,710,700
2024-08-30,224.48,226.64,223.09,225.64,222.50,1,437,100
2024-08-29,225.34,225.91,221.78,223.12,220.01,793,800
2024-08-28,227.24,228.39,223.94,224.50,221.38,784,900
2024-08-27,228.80,230.35,226.27,226.99,223.83,951,500
2024-08-26,229.60,231.38,228.63,229.31,226.12,1,508,700
2024-08-23,227.04,231.05,226.51,229.74,225.93,731,800
2024-08-22,225.17,225.96,222.84,225.19,221.46,1,171,700
2024-08-21,222.16,225.29,221.53,224.94,221.21,546,000
2024-08-20,218.27,223.00,218.17,221.15,217.48,1,062,700
2024-08-19,223.46,224.84,217.60,219.20,215.57,630,800
2024-08-16,221.71,223.50,221.12,222.76,219.07,2,287,000
2024-08-15,217.64,222.78,217.64,221.87,218.19,1,532,400
2024-08-14,216.55,217.10,214.08,216.68,213.09,1,091,600
2024-08-13,213.20,216.95,212.49,215.90,212.32,501,100
2024-08-12,213.54,213.58,211.05,212.10,208.58,713,800
2024-08-09,212.00,213.98,210.76,213.73,210.19,567,400
2024-08-08,209.75,212.81,209.01,212.31,208.79,758,200
2024-08-07,209.71,213.78,208.65,208.99,205.53,967,200
2024-08-06,207.66,213.70,207.09,208.45,204.99,1,082,400
