Date,Open,High,Low,Close,Volume
"Aug 22, 2023","529.72","530.00","518.35","519.48","1,495,500"
"Aug 21, 2023","510.29","522.98","510.29","520.47","2,428,300"
"Aug 18, 2023","504.65","510.05","503.90","508.13","2,140,100"
"Aug 17, 2023","525.00","525.49","510.56","511.67","2,455,800"
"Aug 16, 2023","517.81","523.15","514.17","514.49","1,541,300"
"Aug 15, 2023","518.35","522.04","516.06","518.70","1,824,300"
"Aug 14, 2023","506.78","522.55","505.03","522.25","2,052,500"
"Aug 11, 2023","510.83","514.90","506.37","508.45","1,930,600"
"Aug 10, 2023","521.03","523.22","512.98","515.83","1,901,700"
"Aug 9, 2023","520.55","520.97","509.53","513.78","1,843,800"
"Aug 8, 2023","523.99","524.58","515.25","520.60","2,626,100"
"Aug 7, 2023","530.00","532.58","523.52","529.73","1,777,600"
"Aug 4, 2023","526.74","535.63","522.12","526.88","2,462,900"
"Aug 3, 2023","523.00","530.91","522.22","523.76","2,183,700"
"Aug 2, 2023","539.32","539.99","526.50","530.30","2,971,000"
"Aug 1, 2023","545.78","552.02","541.67","549.10","2,274,000"
"Jul 31, 2023","541.87","552.94","541.87","546.17","4,059,800"
"Jul 28, 2023","515.43","530.32","514.63","528.87","2,810,000"
"Jul 27, 2023","523.16","527.90","511.24","513.97","2,477,200"
"Jul 26, 2023","520.49","521.10","510.44","514.55","2,918,700"
"Jul 25, 2023","519.42","526.88","517.92","525.34","2,472,100"
"Jul 24, 2023","520.00","524.84","514.86","523.86","2,260,500"
"Jul 21, 2023","521.75","529.69","519.28","520.23","8,099,500"
"Jul 20, 2023","522.03","528.31","514.09","516.88","3,264,500"
"Jul 19, 2023","534.48","539.00","526.06","527.17","3,383,200"
"Jul 18, 2023","519.64","535.13","517.38","532.23","4,093,100"
"Jul 17, 2023","513.00","522.69","512.38","522.00","2,645,600"
"Jul 14, 2023","517.34","523.79","512.67","514.83","2,303,700"
"Jul 13, 2023","509.62","519.41","509.50","517.28","3,049,400"
"Jul 12, 2023","509.41","510.79","500.01","507.36","3,027,400"
"Jul 11, 2023","497.28","506.03","491.76","504.74","2,842,600"
"Jul 10, 2023","485.27","499.20","485.11","496.35","3,352,600"
"Jul 7, 2023","481.98","490.42","479.86","485.27","2,325,000"
"Jul 6, 2023","479.99","482.50","475.00","481.29","2,100,900"
"Jul 5, 2023","480.99","489.41","479.73","487.26","2,190,000"
"Jul 3, 2023","486.39","486.61","479.84","485.21","1,491,000"
"Jun 30, 2023","482.74","492.81","482.72","488.99","3,096,600"
"Jun 29, 2023","484.47","485.83","479.60","483.77","1,905,400"
"Jun 28, 2023","482.00","489.75","480.39","482.43","3,229,200"
"Jun 27, 2023","480.00","490.80","479.95","489.27","2,691,700"
"Jun 26, 2023","483.01","487.16","479.05","479.51","3,169,500"
"Jun 23, 2023","472.95","487.33","472.32","484.72","4,481,500"
"Jun 22, 2023","474.12","481.00","473.02","477.58","3,601,400"
"Jun 21, 2023","492.00","495.55","475.31","477.48","5,258,700"
"Jun 20, 2023","485.63","492.69","480.00","485.86","5,331,200"
"Jun 16, 2023","518.23","518.74","494.62","495.18","13,343,800"
"Jun 15, 2023","475.47","495.20","474.25","490.91","9,682,200"
"Jun 14, 2023","476.15","483.85","473.20","479.53","5,150,100"
"Jun 13, 2023","489.71","491.51","470.36","478.99","7,412,500"
"Jun 12, 2023","463.71","478.04","459.42","474.63","6,913,700"
"Jun 9, 2023","456.91","466.59","453.09","454.00","7,928,300"
"Jun 8, 2023","424.15","440.63","423.58","439.03","6,062,800"
"Jun 7, 2023","434.56","436.81","417.74","418.32","4,773,000"
"Jun 6, 2023","432.55","437.12","431.24","432.89","2,342,000"
"Jun 5, 2023","433.01","440.38","426.96","434.18","3,447,400"
"Jun 2, 2023","432.00","438.53","430.36","436.37","4,334,800"
"Jun 1, 2023","412.29","430.60","412.29","426.75","4,443,100"
"May 31, 2023","413.90","421.36","410.70","417.79","5,158,500"
"May 30, 2023","429.94","432.99","416.08","417.21","5,332,300"
"May 26, 2023","396.72","416.36","396.57","415.39","7,833,600"
"May 25, 2023","375.49","397.65","374.09","392.06","7,030,000"
"May 24, 2023","368.41","369.06","361.72","365.76","2,666,600"
"May 23, 2023","371.81","376.49","369.92","370.42","2,967,700"
"May 22, 2023","371.25","374.40","369.66","372.05","2,627,100"
"May 19, 2023","363.00","372.08","361.36","371.25","3,856,900"
"May 18, 2023","357.00","361.48","356.45","360.43","2,896,400"
"May 17, 2023","345.36","358.69","345.12","356.63","3,560,600"
"May 16, 2023","344.20","347.07","341.17","345.11","2,558,300"
"May 15, 2023","337.35","345.89","333.01","345.67","3,330,500"
"May 12, 2023","340.51","340.79","331.89","335.45","4,278,700"
"May 11, 2023","341.88","344.66","339.37","341.58","2,183,400"
"May 10, 2023","348.25","352.00","341.83","344.02","3,386,300"
"May 9, 2023","342.50","345.00","341.23","342.65","1,879,400"
"May 8, 2023","348.00","350.48","340.76","344.06","3,135,900"
"May 5, 2023","338.98","349.55","338.03","348.40","4,260,900"
"May 4, 2023","347.97","348.00","332.84","335.83","6,614,900"
"May 3, 2023","363.49","365.96","344.24","345.25","6,700,800"
"May 2, 2023","374.36","375.85","367.84","368.66","2,287,600"
"May 1, 2023","376.51","378.72","373.71","374.15","1,868,000"
"Apr 28, 2023","371.42","377.69","368.56","377.56","2,061,700"
"Apr 27, 2023","365.94","373.82","363.50","371.42","2,338,800"
"Apr 26, 2023","368.60","369.45","357.25","363.06","2,803,200"
"Apr 25, 2023","373.63","375.23","368.88","369.59","2,413,100"
"Apr 24, 2023","376.59","378.95","373.57","377.34","1,531,100"
"Apr 21, 2023","379.97","380.44","375.44","377.67","1,841,600"
"Apr 20, 2023","376.04","383.00","375.67","380.26","1,947,900"
"Apr 19, 2023","377.90","382.84","375.60","380.11","1,775,200"
"Apr 18, 2023","380.90","380.90","374.49","377.55","1,586,700"
"Apr 17, 2023","379.61","380.76","374.62","377.92","1,614,300"
"Apr 14, 2023","376.37","380.57","375.14","379.38","1,525,500"
"Apr 13, 2023","373.20","379.02","372.73","378.80","2,434,800"
"Apr 12, 2023","376.42","378.23","368.75","369.89","1,978,200"
"Apr 11, 2023","374.01","375.90","368.35","371.11","2,161,100"
"Apr 10, 2023","375.48","376.67","372.26","376.25","1,689,700"
"Apr 6, 2023","379.31","382.46","375.99","380.60","1,835,900"
"Apr 5, 2023","384.09","386.00","377.26","382.02","2,277,200"
"Apr 4, 2023","382.24","385.70","381.05","385.15","2,569,800"
"Apr 3, 2023","380.88","383.73","378.15","380.08","2,712,600"
"Mar 31, 2023","382.29","385.73","380.26","385.37","3,063,400"
"Mar 30, 2023","381.65","382.58","378.08","381.90","2,139,000"
"Mar 29, 2023","376.68","380.12","375.56","379.16","2,497,600"
"Mar 28, 2023","373.42","374.00","367.82","373.40","1,780,800"
"Mar 27, 2023","376.51","380.35","369.68","373.15","2,832,200"
"Mar 24, 2023","370.23","375.23","367.72","374.96","2,993,400"
"Mar 23, 2023","368.99","375.25","365.49","369.00","3,138,600"
"Mar 22, 2023","375.00","377.33","361.52","361.71","3,878,400"
"Mar 21, 2023","364.63","376.40","362.92","374.22","4,479,200"
"Mar 20, 2023","357.61","364.94","355.35","362.88","3,946,800"
