Date,Open,High,Low,Close,Adj Close,Volume
2023-01-26,132.34,132.90,129.72,132.11,129.00,212,100
2023-01-25,128.66,132.15,128.02,131.42,128.33,182,600
2023-01-24,131.48,132.15,129.87,130.89,127.81,176,400
2023-01-23,130.00,134.72,129.17,132.92,129.79,385,400
2023-01-20,128.94,129.33,126.73,129.17,126.13,301,700
2023-01-19,128.14,128.86,125.98,127.97,124.96,259,200
2023-01-18,129.88,131.37,127.48,127.69,124.68,263,000
2023-01-17,128.92,129.39,126.02,127.04,124.05,260,700
2023-01-13,126.00,129.55,125.50,128.58,125.55,432,600
2023-01-12,125.99,127.75,122.84,126.87,123.88,501,100
2023-01-11,120.27,126.17,120.20,126.15,123.18,700,200
2023-01-10,115.90,126.90,115.90,125.08,122.13,865,200
2023-01-09,113.83,118.59,113.03,115.86,113.13,571,300
2023-01-06,108.80,113.22,107.19,111.82,109.19,244,700
2023-01-05,107.00,109.06,106.13,107.27,104.74,319,900
2023-01-04,108.56,109.82,107.01,107.97,105.43,291,100
2023-01-03,109.81,110.33,105.73,106.70,104.19,235,700
2022-12-30,106.15,108.13,105.42,108.04,105.50,256,600
2022-12-29,105.85,109.47,105.85,107.97,105.43,265,700
2022-12-28,104.68,106.90,103.32,104.03,101.58,174,000
2022-12-27,106.00,106.00,104.41,105.40,102.92,180,100
2022-12-23,106.04,107.32,104.99,106.65,104.14,175,400
2022-12-22,108.14,108.30,104.23,106.99,104.47,216,500
2022-12-21,109.48,111.36,109.13,110.35,107.75,209,300
2022-12-20,106.79,110.25,106.31,108.87,106.31,490,600
2022-12-19,110.48,110.48,107.73,108.06,105.52,356,500
2022-12-16,111.13,111.70,107.63,110.37,107.77,692,400
2022-12-15,113.49,114.21,110.80,111.68,109.05,299,300
2022-12-14,116.48,117.91,114.18,116.37,113.34,422,900
2022-12-13,121.03,122.34,116.35,116.75,113.71,441,500
2022-12-12,114.69,115.93,114.00,115.67,112.66,239,900
2022-12-09,114.25,116.68,114.25,115.41,112.40,350,800
2022-12-08,113.41,116.63,113.11,115.15,112.15,267,700
2022-12-07,112.95,113.95,110.83,112.49,109.56,248,000
2022-12-06,118.70,119.90,112.46,114.40,111.42,478,500
2022-12-05,114.12,120.07,113.37,119.12,116.02,914,900
2022-12-02,110.37,113.21,110.37,112.69,109.75,153,500
2022-12-01,113.75,114.04,110.52,112.89,109.95,308,500
2022-11-30,108.42,112.81,106.60,112.62,109.68,343,100
2022-11-29,108.09,109.79,106.87,107.50,104.70,206,500
2022-11-28,108.33,109.39,107.48,107.86,105.05,251,100
2022-11-25,109.49,110.03,108.99,109.71,106.85,61,500
2022-11-23,110.05,113.39,109.64,110.74,107.85,249,800
2022-11-22,107.56,110.17,106.40,110.05,107.18,237,200
2022-11-21,107.84,109.16,106.86,107.25,104.45,197,600
2022-11-18,111.32,111.32,108.22,109.44,106.59,247,900
2022-11-17,107.46,110.76,107.46,109.54,106.68,174,300
2022-11-16,110.62,111.29,107.16,110.19,107.32,393,900
2022-11-15,112.26,116.08,111.58,113.44,110.48,493,700
2022-11-14,110.00,111.49,108.37,108.50,105.67,372,400
2022-11-11,107.30,111.99,106.71,110.61,107.73,347,800
2022-11-10,106.32,107.64,105.76,107.45,104.65,443,800
2022-11-09,101.21,101.21,98.88,100.52,97.90,355,800
2022-11-08,105.67,106.80,101.00,102.92,100.24,329,000
2022-11-07,100.76,105.63,99.91,104.09,101.38,621,700
2022-11-04,98.54,104.66,97.00,100.85,98.22,899,500
2022-11-03,93.07,93.07,89.52,89.97,87.62,746,000
2022-11-02,97.02,98.53,93.74,94.25,91.79,582,800
2022-11-01,96.80,97.61,95.95,96.97,94.44,627,400
2022-10-31,98.39,98.39,95.01,95.22,92.74,484,900
2022-10-28,97.33,100.05,97.25,99.05,96.47,183,100
2022-10-27,98.11,99.81,96.73,96.88,94.35,308,300
2022-10-26,97.05,100.63,96.52,97.71,95.16,283,500
2022-10-25,96.14,98.65,96.14,98.41,95.85,503,700
2022-10-24,97.78,97.86,94.25,95.38,92.89,354,400
2022-10-21,94.93,98.43,93.89,97.50,94.96,359,900
2022-10-20,97.00,98.25,93.82,95.18,92.70,287,000
2022-10-19,94.57,96.42,94.19,96.23,93.72,253,700
2022-10-18,98.13,99.00,93.83,95.18,92.70,465,300
2022-10-17,95.36,96.67,94.42,95.03,92.55,494,600
2022-10-14,98.75,98.99,92.50,92.62,90.21,514,400
2022-10-13,91.43,98.73,89.41,97.92,95.37,404,100
2022-10-12,96.56,97.29,94.13,94.74,92.27,344,000
2022-10-11,95.76,97.59,94.19,96.41,93.90,314,900
2022-10-10,99.18,99.18,95.78,97.26,94.72,241,700
2022-10-07,100.79,101.35,99.04,99.49,96.90,273,200
2022-10-06,101.10,103.85,101.10,103.13,100.44,405,400
2022-10-05,100.52,101.72,99.04,101.12,98.48,269,100
2022-10-04,99.33,103.34,99.33,101.98,99.32,399,700
2022-10-03,95.61,98.14,94.63,97.13,94.60,458,600
2022-09-30,95.39,97.24,94.12,94.35,91.89,394,000
2022-09-29,95.56,96.76,94.85,96.38,93.87,305,600
2022-09-28,96.34,98.40,95.29,97.60,95.06,403,700
2022-09-27,98.13,98.99,95.52,96.77,94.25,278,800
2022-09-26,97.43,100.28,96.32,96.48,93.97,425,700
2022-09-23,97.70,98.20,95.66,97.59,95.05,395,800
2022-09-22,101.25,101.60,97.91,98.95,96.37,424,900
2022-09-21,104.39,106.28,101.39,101.86,99.21,670,300
2022-09-20,102.18,105.45,101.52,103.86,101.15,481,700
2022-09-19,100.62,105.17,100.62,103.61,100.91,595,800
2022-09-16,100.76,101.92,98.76,101.69,99.04,1,835,800
2022-09-15,102.22,105.17,100.75,101.47,98.83,420,200
2022-09-14,100.59,104.35,99.50,103.74,100.74,740,900
2022-09-13,104.56,104.56,99.61,99.78,96.90,765,500
2022-09-12,109.00,110.00,107.82,108.83,105.69,507,900
2022-09-09,107.84,109.21,106.63,108.10,104.98,342,300
2022-09-08,106.35,107.35,104.54,105.92,102.86,440,300
2022-09-07,105.80,108.21,104.80,107.49,104.39,389,500
2022-09-06,107.08,107.08,103.59,104.85,101.82,522,900
2022-09-02,111.05,111.57,105.50,106.60,103.52,398,700
2022-09-01,109.14,109.65,105.26,108.91,105.76,564,500
2022-08-31,111.05,112.58,109.79,111.73,108.50,580,600
2022-08-30,111.71,111.85,108.35,109.74,106.57,378,900
2022-08-29,110.84,112.72,109.76,110.42,107.23,344,100
2022-08-26,119.90,120.61,112.25,112.38,109.13,478,400
2022-08-25,116.14,119.84,116.14,119.33,115.88,390,200
2022-08-24,116.24,117.49,115.21,116.01,112.66,292,700
2022-08-23,116.71,119.07,115.83,116.06,112.71,284,900
2022-08-22,118.25,118.79,115.53,116.03,112.68,344,700
2022-08-19,124.97,126.06,120.56,120.83,117.34,461,000
2022-08-18,124.08,127.99,124.04,127.43,123.75,373,700
2022-08-17,122.71,125.65,121.77,123.71,120.14,423,700
2022-08-16,124.18,125.09,122.50,124.43,120.84,281,100
2022-08-15,125.09,127.83,123.71,125.22,121.60,288,100
2022-08-12,123.20,126.34,122.52,126.15,122.51,451,500
2022-08-11,124.49,125.76,121.14,121.82,118.30,326,600
2022-08-10,121.06,125.98,119.82,123.49,119.92,561,100
2022-08-09,118.92,119.09,114.14,116.75,113.38,709,300
2022-08-08,124.48,126.37,120.42,120.68,117.19,538,900
2022-08-05,118.39,127.81,116.57,125.41,121.79,884,600
2022-08-04,120.13,123.14,118.61,119.05,115.61,611,800
2022-08-03,115.55,121.40,115.48,120.92,117.43,550,000
2022-08-02,113.99,116.23,113.85,115.00,111.68,261,700
2022-08-01,114.23,116.34,112.89,115.86,112.51,294,800
2022-07-29,115.19,116.36,113.37,115.46,112.13,474,900
2022-07-28,115.20,115.79,112.01,114.65,111.34,370,900
2022-07-27,111.52,115.73,110.87,114.87,111.55,649,400
2022-07-26,111.77,111.77,108.57,108.64,105.50,431,200
2022-07-25,113.34,113.37,111.10,112.86,109.60,316,100
2022-07-22,116.84,117.09,112.15,113.85,110.56,284,100
2022-07-21,116.18,117.26,114.57,117.22,113.83,247,800
2022-07-20,113.20,116.82,112.60,116.17,112.81,296,000
2022-07-19,109.49,113.80,109.44,113.43,110.15,423,000
2022-07-18,110.29,110.65,106.87,107.52,104.41,303,000
2022-07-15,109.11,109.16,106.84,108.69,105.55,351,000
2022-07-14,106.70,108.69,104.88,108.09,104.97,294,000
2022-07-13,104.94,108.36,104.20,107.59,104.48,206,000
2022-07-12,106.40,107.96,104.55,106.66,103.58,231,500
2022-07-11,106.93,107.62,105.31,105.83,102.77,264,700
2022-07-08,106.68,109.94,105.95,108.61,105.47,225,100
2022-07-07,106.50,108.79,106.42,108.53,105.40,363,400
2022-07-06,105.60,106.45,103.00,104.75,101.72,447,400
2022-07-05,100.63,105.60,99.31,105.13,102.09,440,700
2022-07-01,100.97,103.15,100.05,102.22,99.27,542,000
2022-06-30,102.79,103.31,98.71,101.14,98.22,671,000
2022-06-29,106.43,107.31,100.89,103.78,100.78,812,400
2022-06-28,115.26,115.74,109.94,110.14,106.96,412,400
2022-06-27,114.84,115.50,111.42,114.56,111.25,360,500
2022-06-24,109.07,114.15,108.91,113.67,110.39,569,100
2022-06-23,108.00,108.86,105.68,107.99,104.87,314,700
2022-06-22,106.38,110.76,106.38,107.02,103.93,515,100
2022-06-21,110.00,111.79,108.06,108.37,105.24,627,600
2022-06-17,105.49,108.99,104.73,107.36,104.26,857,100
2022-06-16,109.90,110.23,103.15,104.19,101.18,746,200
2022-06-15,111.13,116.02,110.38,113.50,110.22,459,600
2022-06-14,111.75,112.18,109.53,110.97,107.47,476,700
2022-06-13,114.24,114.91,109.72,110.35,106.87,611,400
2022-06-10,119.39,119.81,116.59,117.57,113.87,327,500
2022-06-09,123.22,124.97,120.36,120.45,116.66,443,900
2022-06-08,127.96,127.96,124.08,124.88,120.95,285,000
2022-06-07,124.54,128.63,123.99,128.33,124.29,309,600
2022-06-06,128.13,128.75,125.55,126.33,122.35,297,400
2022-06-03,127.00,127.00,124.25,125.13,121.19,270,500
2022-06-02,125.50,130.02,124.83,129.92,125.83,242,900
2022-06-01,127.40,128.72,124.01,125.80,121.84,340,200
2022-05-31,128.40,128.58,125.35,126.31,122.33,296,300
2022-05-27,125.00,129.00,125.00,128.84,124.78,331,300
2022-05-26,119.98,124.54,119.00,123.75,119.85,362,700
2022-05-25,116.07,121.41,116.07,119.97,116.19,334,800
2022-05-24,120.13,120.23,116.18,116.75,113.07,280,800
2022-05-23,122.68,123.26,119.60,122.06,118.21,304,500
2022-05-20,124.59,125.00,117.06,122.46,118.60,385,400
2022-05-19,120.49,125.75,119.17,121.93,118.09,377,800
2022-05-18,125.92,128.02,120.11,120.69,116.89,428,300
2022-05-17,125.59,128.26,124.00,128.02,123.99,411,600
2022-05-16,124.20,125.89,123.12,123.46,119.57,321,100
2022-05-13,122.45,127.46,122.32,126.40,122.42,528,600
2022-05-12,114.46,121.72,114.27,119.50,115.74,587,700
2022-05-11,124.24,125.11,116.48,116.58,112.91,623,500
2022-05-10,125.71,127.23,120.52,124.22,120.31,462,300
2022-05-09,131.50,133.01,121.97,122.49,118.63,628,300
2022-05-06,134.26,139.60,128.83,134.99,130.74,814,200
2022-05-05,138.59,138.86,125.83,129.62,125.54,1,193,500
2022-05-04,134.40,142.04,132.14,141.59,137.13,621,100
